,group,mouse,timestep,day,volume,relative volume,volume (cm$^2$)
541,Control,45,1.0,1,,,
542,Control,45,2.0,3,,,
543,Control,45,3.0,4,,,
544,Control,45,4.0,6,,,
545,Control,45,5.0,7,,,
546,Control,45,6.0,8,,,
547,Control,45,7.0,9,,,
548,Control,45,8.0,11,,,
549,Control,45,9.0,12,,,
550,Control,45,10.0,14,,,
551,Control,45,11.0,16,,,
552,Control,46,0.0,0,,,
553,Control,46,1.0,1,,,
554,Control,46,2.0,3,,,
555,Control,46,3.0,4,,,
556,Control,46,4.0,6,,,
557,Control,46,5.0,7,,,
558,Control,46,6.0,8,,,
559,Control,46,7.0,9,,,
560,Control,46,8.0,11,,,
561,Control,46,9.0,12,,,
562,Control,46,10.0,14,,,
563,Control,46,11.0,16,,,
564,Control,47,0.0,0,,,
565,Control,47,1.0,1,,,
566,Control,47,2.0,3,,,
567,Control,47,3.0,4,,,
568,Control,47,4.0,6,,,
569,Control,47,5.0,7,,,
570,Control,47,6.0,8,,,
571,Control,47,7.0,9,,,
572,Control,47,8.0,11,,,
573,Control,47,9.0,12,,,
574,Control,47,10.0,14,,,
575,Control,47,11.0,16,,,
576,100kHz,,,2,,,
577,150kHz,,,2,,,
578,230kHz,,,2,,,
579,Control,,,2,,,
580,100kHz,,,5,,,
581,150kHz,,,5,,,
582,230kHz,,,5,,,
583,Control,,,5,,,
584,100kHz,,,10,,,
585,150kHz,,,10,,,
586,230kHz,,,10,,,
587,Control,,,10,,,
588,100kHz,,,13,,,
589,150kHz,,,13,,,
590,230kHz,,,13,,,
591,Control,,,13,,,
592,100kHz,,,15,,,
593,150kHz,,,15,,,
594,230kHz,,,15,,,
595,Control,,,15,,,
